iter	Passed	Remaining
0	230	22389
1	280	13454
2	361	11448
3	434	10216
4	488	9090
5	522	8017
6	552	7187
7	583	6569
8	615	6081
9	645	5677
10	695	5499
11	738	5290
12	792	5180
13	859	5157
14	972	5382
15	1019	5226
16	1056	5032
17	1093	4858
18	1125	4680
19	1172	4573
20	1232	4520
21	1302	4499
22	1354	4415
23	1402	4323
24	1457	4256
25	1496	4144
26	1530	4025
27	1564	3912
28	1603	3815
29	1636	3709
30	1669	3608
31	1720	3548
32	1765	3477
33	1803	3395
34	1869	3365
35	1912	3294
36	1958	3229
37	1993	3147
38	2028	3069
39	2061	2989
40	2095	2913
41	2130	2840
42	2164	2769
43	2198	2698
44	2265	2667
45	2331	2635
46	2383	2586
47	2423	2524
48	2463	2463
49	2494	2394
50	2522	2324
51	2548	2254
52	2576	2187
53	2600	2119
54	2627	2053
55	2656	1992
56	2682	1929
57	2708	1868
58	2734	1807
59	2759	1747
60	2785	1689
61	2807	1630
62	2827	1571
63	2855	1517
64	2877	1461
65	2903	1407
66	2928	1355
67	2957	1304
68	2982	1253
69	3005	1202
70	3025	1150
71	3052	1102
72	3092	1058
73	3152	1022
74	3191	978
75	3238	937
76	3280	894
77	3313	849
78	3339	803
79	3362	756
80	3382	709
81	3404	664
82	3424	618
83	3448	574
84	3472	531
85	3494	487
86	3519	444
87	3553	403
88	3583	362
89	3614	321
90	3645	280
91	3674	239
92	3700	198
93	3718	158
94	3743	118
95	3764	78
96	3783	39
97	3806	0
